Title,Author,first,second,third,fourth,fifth,sixth,seventh,eighth,ninth
1 Tamburlaine,Marlowe,26,59,40,194,119,80,26,19,4
2 Tamburlaine,Marlowe,28,74,61,269,142,105,43,19,1
Jew of Malta,Marlowe,132,118,93,339,212,157,97,37,14
Dr. Faustus,Marlowe,16,26,29,64,57,37,13,7,0
Edward II,Marlowe,63,211,84,486,182,259,62,19,2
Tale of Tub,Jonson,146,208,139,602,469,543,387,261,94
Case Is Altered,Jonson,41,86,29,237,214,244,141,53,13
Every Man in,Jonson,36,55,17,111,80,79,64,17,6
Every Man Out,Jonson,43,59,22,100,80,110,92,38,13
Cynthia's Revels,Jonson,65,69,37,154,139,129,84,47,11
Poetaster,Jonson,153,189,71,304,280,280,204,113,29
Sejanus,Jonson,221,388,199,719,651,767,635,439,189
Volpone,Jonson,300,415,231,754,752,832,694,593,301
Alchemist,Jonson,336,437,266,837,823,838,726,672,322
Catiline,Jonson,290,456,258,882,750,850,695,537,212
Antonio & Mellida 1-2,Marston,156,235,102,582,414,464,162,136,53
Histriomastix,Marston,43,57,32,146,114,108,63,19,5
Jack Drum's Entertnmt,Marston,29,58,35,230,155,144,51,13,5
Dutch Courtesan,Marston,9,28,8,92,49,76,41,24,3
Malcontent,Marston,27,55,22,169,59,125,38,34,10
Parasitaster,Marston,6,21,15,158,77,97,32,21,3
Sophonisba,Marston,32,91,43,419,206,282,124,88,31
What You Will,Marston,20,65,38,183,138,136,56,38,19
Insatiate Countess,Marston,27,68,39,253,215,238,95,31,12
Titus Andronicus,Shakespeare,45,88,52,281,148,165,45,11,3
Comedy of Errors,Shakespeare,35,97,34,229,140,156,63,25,2
1 Henry 6,Shakespeare,80,183,71,474,304,203,127,49,3
2 Henry 6,Shakespeare,83,164,73,499,225,308,117,31,13
3 Henry 6,Shakespeare,138,205,143,706,309,347,148,71,3
Taming of the Shrew,Shakespeare,63,117,51,400,221,196,55,31,7
Richard 3,Shakespeare,138,305,120,680,430,445,186,108,20
Two Gentlemen Verona,Shakespeare,97,138,76,308,172,222,76,39,12
Loves Labours Lost,Shakespeare,42,69,30,273,154,166,54,30,8
Midsummer Nights Dream,Shakespeare,35,88,43,300,229,172,83,33,12
Romeo and Juliet,Shakespeare,44,157,65,567,323,319,96,59,19
Richard 2,Shakespeare,61,182,90,568,323,375,130,79,14
King John,Shakespeare,79,146,57,441,315,287,133,65,24
Merchant of Venice,Shakespeare,39,66,42,272,206,212,132,24,9
1 Henry 4,Shakespeare,51,90,42,248,187,204,122,31,13
2 Henry 4,Shakespeare,60,149,82,340,216,259,127,79,18
Merry Wives,Shakespeare,14,20,19,61,34,51,18,15,8
Much Ado,Shakespeare,17,32,25,90,69,78,36,12,7
Henry 5,Shakespeare,28,83,50,284,198,242,146,51,14
Julius Caesar,Shakespeare,77,114,102,376,311,366,165,61,21
As You Like It,Shakespeare,18,37,35,165,111,149,48,21,3
Twelfth Night,Shakespeare,8,37,26,136,100,138,60,39,5
Hamlet,Shakespeare,43,116,63,397,225,405,171,66,16
Troilus and Cressida,Shakespeare,61,122,66,439,213,336,134,78,19
Measure for Measure,Shakespeare,41,88,34,243,156,317,120,76,14
Othello,Shakespeare,79,178,82,542,238,483,208,153,42
Alls Well,Shakespeare,9,36,23,205,135,279,123,54,15
Timon,Shakespeare,16,44,40,188,142,232,147,79,22
King Lear,Shakespeare,40,103,55,354,143,448,183,125,40
Macbeth,Shakespeare,36,82,46,270,159,403,142,135,34
Pericles,Shakespeare,5,25,16,80,51,132,66,41,21
Antony and Cleopatra,Shakespeare,39,105,68,360,293,554,299,255,107
Coriolanus,Shakespeare,37,111,68,381,224,535,314,264,117
Cymbeline,Shakespeare,61,158,102,432,332,641,401,421,187
Winters Tale,Shakespeare,44,138,78,380,261,492,307,378,133
Tempest,Shakespeare,38,83,49,266,187,333,196,167,85
Henry 8,Shakespeare,24,34,25,156,135,261,200,122,61
Two Noble Kinsmen,Shakespeare,10,34,12,111,109,186,129,92,32
Edward 3,Shakespeare,2,23,14,119,62,58,19,2,2
Henry 8 NS,Fletcher,23,92,57,233,213,275,347,178,35
Titus Andronicus NS,Peele,17,51,23,134,73,72,22,10,1
Spanish Tragedy,Kyd,65,144,61,361,145,99,50,21,5
Soliman and Persida,Kyd,27,61,36,276,128,95,19,13,1
Edward III NS,Kyd,9,22,20,152,79,38,32,6,1
Cornelia,Kyd,76,95,53,294,189,125,60,32,7
Edward I,Peele,7,44,25,162,61,51,14,4,4
Two Noble Kinsmen,Fletcher,29,52,60,241,216,306,303,159,43
Arden of Faversham,Shakespeare,1,1,1,30,5,13,0,2,0
Spanish Tragedy Add.,Shakespeare,20,28,12,33,32,30,14,8,2
Sir Thomas More Iid,Shakespeare,0,0,0,9,6,8,9,0,0

