"riverside","oxford","CCA","abbrv"
1593.5,1592,1589.5,"TA"
1590.5,1591,1590,"3H6"
1593.5,1590.5,1590.099496,"SHR"
1593.5,1593,1590.700302,"E3"
1590.5,1591,1592.007411,"2H6"
1594,1590.5,1592.263822,"TGV"
1589.5,1592,1592.458387,"1H6"
1593,1594,1592.728929,"ERR"
1595.5,1595,1593.004605,"ROM"
1594.5,1594.5,1593.142016,"LLL"
1592.5,1592.5,1593.429903,"R3"
1595.5,1595,1593.66036,"MND"
1595,1595,1594.147281,"R2"
1602,1602,1594.552977,"SPT"
1595,1596,1594.888653,"JN"
1599,1599.5,1595.695629,"AYL"
1598.5,1598,1596.195503,"ADO"
1596.5,1596.5,1596.246404,"MV"
1596.5,1596.5,1596.355623,"1H4"
1598,1597.5,1596.759228,"2H4"
1601.5,1602,1597.032179,"TRO"
1597,1597.5,1598.484825,"WIV"
1600.5,1600.5,1598.790023,"HAM"
1599,1598.5,1598.877371,"H5"
1599,1599,1599.25,"JC"
1601.5,1601,1600.483422,"TN"
1604,1603.5,1600.660469,"OTH"
1604,1603,1601.492311,"MM"
1594.5,1603.5,1602.782438,"STM"
1602.5,1604.5,1604.194889,"AWW"
1607.5,1605,1604.826112,"TIM"
1605,1605.5,1605,"LR"
1606,1606,1606.201106,"MAC"
1607.5,1607,1609.938081,"PER"
1611,1611,1610.75,"TMP"
1606.5,1606,1611.187404,"ANT"
1607.5,1608,1612.354008,"COR"
1613,1613.5,1612.778829,"TNK"
1610.5,1609,1614,"WT"
1612.5,1613,1614,"H8"
1609.5,1610,1614,"CYM"
1591,1591,1591.286,"ARD"
