"Title","cca_prediction","mean_cca","lower_95","upper_95","rescaled"
"TA",1590.20205412883,1591.41591430445,1589.92387229993,1592.88063969492,1590.20205412883
"SHR",1591.20974147063,1591.70560773896,1590.28119274858,1593.01492479551,1591.20974147063
"E3",1591.74620130131,1592.20811709957,1590.1337675749,1594.33428944241,1591.74620130131
"3H6",1591.75,1591.75,1591.75,1591.75,1591.75
"2H6",1592.98914641797,1593.43786012867,1592.1706528009,1594.70339343415,1592.98914641797
"TGV",1593.24561824605,1593.63222029824,1592.17055399919,1595.16843818488,1594.2054
"1H6",1593.40688789076,1592.34980723788,1591.10474572652,1593.52229527006,1594.34010861308
"ERR",1593.66399934966,1593.99249772884,1592.5195853466,1595.54937934503,1594.55487394042
"ROM",1593.92085124106,1594.25509870043,1593.06425914595,1595.51695310944,1594.7694224509
"LLL",1594.0533736811,1594.33881771273,1592.73697585545,1596.05405812588,1594.88011850987
"R3",1594.33276911464,1594.64993281715,1593.49854056648,1595.70343291103,1595.11349765212
"MND",1594.53598821953,1594.83368824291,1593.32694648371,1596.28482627481,1595.28324666981
"R2",1594.99281166145,1595.28100753961,1594.16637117746,1596.55293069608,1595.66483151422
"SPT",1595.40826954293,1593.95988834061,1590.56643258164,1597.64123890067,1596.01186368577
"JN",1595.69279936615,1595.93321253518,1594.61127005132,1597.21888223649,1596.24953158623
"AYL",1596.42610105991,1596.67464209871,1594.91318150264,1598.48142926224,1596.86205884959
"ADO",1596.90836206835,1597.11494922361,1594.88803523568,1599.63855804628,1597.26489170576
"MV",1596.9441346097,1597.06296907957,1595.67161783133,1598.64165161249,1597.29477252704
"1H4",1597.05671163028,1597.20049867257,1595.64561435262,1598.71741471706,1597.38880816738
"2H4",1597.45057869178,1597.57146814864,1596.17187551738,1599.04513880789,1597.71780551644
"TRO",1597.69570513785,1597.85150658839,1596.45766767971,1599.17110195024,1597.9225597567
"WIV",1599.07309003377,1599.15815535791,1595.7425658674,1602.78890069503,1599.07309003377
"JC",1599.25,1599.25,1599.25,1599.25,1599.25
"HAM",1599.32411322282,1599.38061873312,1598.09723417377,1600.75246160496,1599.32411322282
"H5",1599.41302638281,1599.43567169219,1597.96878085963,1600.93394222309,1599.41302638281
"TN",1600.91655762968,1600.8626085334,1598.74634091875,1603.06434363546,1600.91655762968
"OTH",1601.10045452991,1600.99590811131,1599.68023526534,1602.3725547409,1601.10045452991
"MM",1601.86164943178,1601.80524502003,1600.18547092291,1603.39874628252,1601.86164943178
"STM",1603.02349683647,1602.61581423235,1596.28416509411,1609.3099239916,1603.02349683647
"AWW",1604.37322890733,1604.15326761203,1602.34886879669,1606.00953418421,1604.37322890733
"TIM",1604.99242152429,1605.74064984053,1603.85866750289,1607.69342030042,1604.99242152429
"LR",1605.10106901604,1604.78597764955,1603.2467738989,1606.40964225868,1605.10106901604
"MAC",1606.27945201255,1605.95180950907,1604.07955976462,1607.80531650002,1606.27945201255
"PER",1607.25,1607.25,1607.25,1607.25,1607.25
"TMP",1610.29623776012,1609.7565830789,1607.7081187622,1611.66182713863,1610.29623776012
"ANT",1610.96162300694,1610.3365277235,1608.51425387478,1611.93235482805,1610.96162300694
"COR",1612.0599814339,1611.38301224584,1609.40122429435,1613.05912474447,1612.0599814339
"TNK",1612.44850367474,1611.6883992022,1609.16122061347,1613.99999999984,1612.44850367474
"H8",1613.75846012608,1612.8842973418,1610.65895625678,1614.00000000001,1613.75846012608
"WT",1613.78832303492,1612.94587084281,1610.92550619006,1614.00000000002,1613.78832303492
"CYM",1614,1613.23959585226,1611.09906665965,1614.00000000005,1614
